192.168.16.1 - - [24/Oct/2021:23:07:35 +0000] "GET /api/items/landing?fields=translations.%2a.,%2a.header_bottom.item.%2a&deep%5Btranslations%5D%5B_filter%5D%5Blanguages_languages_code%5D%5B_eq%5D=cs HTTP/1.1" 200 525 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [24/Oct/2021:23:07:36 +0000] "GET /favicon.ico HTTP/1.1" 200 8636 "http://localhost/api/items/landing?fields=translations.%2a.,%2a.header_bottom.item.%2a&deep%5Btranslations%5D%5B_filter%5D%5Blanguages_languages_code%5D%5B_eq%5D=cs" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [24/Oct/2021:23:07:40 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [24/Oct/2021:23:07:40 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.1 - - [24/Oct/2021:23:07:40 +0000] "GET / HTTP/1.1" 500 43848 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [29/Oct/2021:19:07:32 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:07:32 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.1 - - [29/Oct/2021:19:07:32 +0000] "GET / HTTP/1.1" 500 43848 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [29/Oct/2021:19:08:03 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:03 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
192.168.16.1 - - [29/Oct/2021:19:08:03 +0000] "GET / HTTP/1.1" 500 43968 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.1 - - [29/Oct/2021:19:08:03 +0000] "GET /favicon.ico HTTP/1.1" 200 8636 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36" "-"
192.168.16.2 - - [29/Oct/2021:19:08:04 +0000] "GET /api/items/landing?fields=*.*,headers*.item,landing_steps.item.* HTTP/1.1" 200 759 "-" "axios/0.21.1" "-"
192.168.16.2 - - [29/Oct/2021:19:08:04 +0000] "GET /api/items/faq HTTP/1.1" 403 102 "-" "axios/0.21.1" "-"
